λobs,Intensity,Closest_Number,Normalized_Value,Count_Value,NIST line,Filename
205.29,none,none,none,none,none,none
210.87,66.0,210.87300429070743,10.436894658854603,14,none,2932
211.42,49.0,211.4372988028002,32.249917217257355,7,none,2932
219.09,22.0,219.05775238441188,16.355328766190695,10,Ar,2932
223.1,100.0,223.0937368893401,17.72212758964139,18,Ar,2932
229.33,none,none,none,none,none,none
232.57,none,none,none,none,none,none
232.99,none,none,none,none,none,none
233.72,none,none,none,none,none,none
234.53,none,none,none,none,none,none
245.09,14.0,245.06267514415416,3.5832476407552947,2,GOLD,2933
247.63,none,none,none,none,none,none
252.47,none,none,none,none,none,none
282.09,56.0,282.11135031448384,18.13482837695342,17,none,2934
298.13,100.0,298.1597140729127,10.318831857038807,12,Ni I,2935
301.23,22.0,301.21665223454085,27.04111722257788,15,Ne,2935
301.93,3.0,301.9658661627422,19.28888034714192,26,none,2934
303.82,26.0,303.8226125805388,30.730178844866963,23,none,2935
304.48,1.0,304.4746646704934,13.510154205653494,24,GOLD,2935
305.1,100.0,305.0835409732378,96.7166890967468,23,Ni I,2935
305.81,17.0,305.7877718831752,29.91851294416721,15,Ne,2935
306.43,13.0,306.40719056220183,3.3186099550986308,3,none,2935
308.11,4.0,308.0887620685105,8.073574046486852,12,none,2935
309.92,2.0,309.96149517386414,7.094347960459055,10,none,2935
310.17,76.0,310.1785520252609,100.0,16,Ni I,2935
310.54,1.0,310.56493127205977,2.674745812984256,2,Ne,2935
312.96,none,none,none,none,none,none
316.35,none,none,none,none,none,none
318.2,none,none,none,none,none,none
318.62,none,none,none,none,none,none
320.01,none,none,none,none,none,none
322.16,2.0,322.1670296480133,2.5881770077150628,1,Ni I,2935
322.35,none,none,none,none,none,none
323.32,25.0,323.3134493671034,25.305356383637527,15,none,2935
324.33,3.0,324.36808004668967,7.079514449283804,21,Ar,2935
325.1,1.0,325.1022971439432,2.6752482829147164,1,GOLD,2935
327.13,none,none,none,none,none,none
328.46,none,none,none,none,none,none
331.24,2.0,331.2840730790477,6.651223266520787,9,none,2935
331.57,none,none,none,none,none,none
332.01,1.0,332.0340346452673,4.030954801444911,10,GOLD,2935
332.21,5.0,332.20338223926314,6.647501563031594,11,none,2935
336.12,6.0,336.0926431214349,5.579634825475932,10,C,2935
336.54,3.0,336.5346810159095,10.308722539757326,18,none,2938
336.95,29.0,336.92735689671656,34.110359259988684,15,none,2935
337.16,31.0,337.17091130662976,9.1203086961658,11,Hg,2935
338.01,100.0,337.9953935707354,21.741055900276223,24,none,2938
342.31,30.0,342.27187542265887,12.78169665830704,21,none,2938
343.95,none,none,none,none,none,none
345.79,83.0,345.78721244195395,15.075084625629428,23,none,2938
346.93,none,none,none,none,none,none
350.04,19.0,350.0272875927773,9.602193333715512,17,Hg,2938
352.8,none,none,none,none,none,none
354.41,none,none,none,none,none,none
355.12,none,none,none,none,none,none
355.72,none,none,none,none,none,none
356.57,68.0,356.55295414425905,20.391891886652477,23,none,2938
357.12,33.0,357.1110858763186,11.445165366543767,17,GOLD,2938
357.57,none,none,none,none,none,none
360.97,42.0,360.9442750882884,18.855879869157512,17,GOLD,2938
362.18,none,none,none,none,none,none
362.4,10.0,362.3908040141359,29.44893245182918,10,none,2938
367.32,4.0,367.3111976764814,9.13216378692814,8,none,2938
373.89,none,none,none,none,none,none
376.21,none,none,none,none,none,none
377.54,29.0,377.5593891552541,2.831120741743049,12,Ni I,2936
378.35,38.0,378.3413156933725,4.528915209786481,15,none,2936
379.2,27.0,379.2189821295957,2.0725077219712515,4,Ne,2936
380.7,73.0,380.6752800176842,9.641609885695452,25,GOLD,2936
381.12,none,none,none,none,none,none
381.88,none,none,none,none,none,none
383.17,none,none,none,none,none,none
385.83,100.0,385.8130939513838,6.365431581159065,16,none,2936
386.83,none,none,none,none,none,none
387.65,none,none,none,none,none,none
388.96,34.0,388.9469138715722,5.384170570368074,12,Ne,2936
394.85,3.0,394.8436628788409,9.278597042111985,1,none,2936
395.75,4.0,395.7322800999209,8.364988710770797,2,none,2936
402.78,none,none,none,none,none,none
412.22,none,none,none,none,none,none
413.17,44.0,413.165526796654,11.589602313108928,13,Ar,2939
415.67,none,none,none,none,none,none
415.78,none,none,none,none,none,none
420.05,46.0,420.0174623471832,3.251458399596089,5,none,2939
420.21,42.0,420.2280169188626,7.84054038066053,7,GOLD,2939
423.14,none,none,none,none,none,none
425.97,none,none,none,none,none,none
427.95,85.0,427.9472739734077,3.090758847214612,4,none,2939
428.31,none,none,none,none,none,none
428.82,none,none,none,none,none,none
429.59,none,none,none,none,none,none
430.25,none,none,none,none,none,none
431.34,none,none,none,none,none,none
432.31,none,none,none,none,none,none
433.14,49.0,433.09713437487545,4.72038113760105,6,GOLD,2939
435.48,none,none,none,none,none,none
436.96,9.0,436.9964548240946,2.1259607654059294,3,none,2939
440.16,100.0,440.1182679442903,2.3572754723845804,1,none,2939
441.09,33.0,441.13183223079255,26.6943506777081,1,none,2940
444.94,none,none,none,none,none,none
451.79,47.0,451.8330448837137,6.139147258273243,1,none,2940
454.66,none,none,none,none,none,none
456.11,11.0,456.0989407950146,7.53404992291453,7,Ar,2940
456.75,23.0,456.7572184904963,31.67707503078108,5,none,2940
459.98,none,none,none,none,none,none
466.71,none,none,none,none,none,none
467.42,47.0,467.4296516134157,7.065872954857542,1,none,2940
467.55,39.0,467.5474989364883,63.83082098071825,13,none,2940
468.19,25.0,468.14158722721504,10.812962205602076,2,Ar,2940
470.1,none,none,none,none,none,none
471.39,100.0,471.3622479093796,13.355053040995172,3,none,2940
473.19,none,none,none,none,none,none
474.99,26.0,474.9703328788488,24.912377357588877,7,none,2940
476.33,69.0,476.3284374630151,91.61907080762307,18,none,2940
477.28,13.0,477.3234861057985,9.003003160197592,6,GOLD,2940
