λobs,Intensity,Closest_Number,Normalized_Value,Count_Value,NIST line,Filename
203.37,1.0,203.37205517430428,8.020433728624937,6,none,2914
212.59,3.0,212.6317659041094,23.32811259154113,6,none,2914
222.53,100.0,222.5516303054379,19.67687553279599,16,none,2914
225.43,71.0,225.4317260677361,20.037184505356283,18,Ar,2914
231.6,100.0,231.58901149340977,69.42119787247161,46,Ne,2915
235.63,8.0,235.62585559825737,11.785170188674218,26,none,2915
237.53,17.0,237.53118572420564,24.425547280997964,44,none,2915
239.44,68.0,239.4470247070888,60.887636836024896,46,Ni II,2915
241.27,2.0,241.27569835276947,5.145345858861083,18,Ne,2915
241.59,57.0,241.59966406010756,66.42224488333464,48,Ar,2915
243.35,5.0,243.3545375219637,5.675706503105834,25,Ne,2915
251.05,0.0,251.0784434741315,47.39967299881629,47,Ni II,2915
254.57,8.0,254.56687754466444,13.14820630277103,32,Ar,2915
264.9,none,none,none,none,none,none
303.24,100.0,303.2374400463753,7.3223851772035315,35,none,2917
335.06,62.0,335.0449527331447,5.284702968003511,22,none,2917
342.05,86.0,342.06974164433353,5.91000383539189,28,none,2918
345.44,74.0,345.4430828344238,3.1298248672750306,12,GOLD,2918
372.56,100.0,372.5602382551783,7.73074538861772,51,none,2919
376.91,none,none,none,none,none,none
